,RNO,Name,Gender,course,Marks,fees
98,391,Student391,F,MBA,30,1.5
99,405,Student405,F,MBA,16,1.5
100,406,Student406,M,MBA,14,1.5
101,413,Student413,M,MBA,45,1.5
102,414,Student414,F,MBA,0,1.5
103,416,Student416,M,MBA,50,1.5
104,423,Student423,M,MBA,5,1.5
105,427,Student427,F,MBA,22,1.5
106,435,Student435,M,MBA,0,1.5
107,438,Student438,F,MBA,67,1.5
108,446,Student446,F,MBA,97,1.5
109,449,Student449,M,MBA,16,1.5
110,452,Student452,M,MBA,60,1.5
111,459,Student459,M,MBA,53,1.5
112,466,Student466,M,MBA,27,1.5
113,472,Student472,F,MBA,55,1.5
114,479,Student479,M,MBA,11,1.5
115,481,Student481,F,MBA,4,1.5
116,485,Student485,F,MBA,23,1.5
117,486,Student486,M,MBA,86,1.5
118,488,Student488,F,MBA,39,1.5
119,489,Student489,M,MBA,82,1.5
120,500,Student500,M,MBA,77,1.5
121,502,Student502,M,MBA,76,1.5
122,506,Student506,M,MBA,93,1.5
123,520,Student520,F,MBA,4,1.5
124,523,Student523,F,MBA,42,1.5
125,532,Student532,M,MBA,21,1.5
126,534,Student534,F,MBA,62,1.5
127,536,Student536,M,MBA,25,1.5
128,538,Student538,F,MBA,77,1.5
129,539,Student539,F,MBA,82,1.5
130,540,Student540,F,MBA,42,1.5
131,544,Student544,M,MBA,87,1.5
132,547,Student547,M,MBA,64,1.5
133,550,Student550,F,MBA,69,1.5
134,555,Student555,F,MBA,20,1.5
135,556,Student556,F,MBA,51,1.5
136,557,Student557,F,MBA,36,1.5
137,558,Student558,F,MBA,12,1.5
138,563,Student563,F,MBA,2,1.5
139,578,Student578,F,MBA,23,1.5
140,579,Student579,M,MBA,33,1.5
141,584,Student584,F,MBA,26,1.5
142,586,Student586,M,MBA,62,1.5
143,591,Student591,M,MBA,86,1.5
144,592,Student592,M,MBA,37,1.5
145,593,Student593,M,MBA,7,1.5
146,598,Student598,F,MBA,6,1.5
147,608,Student608,M,MBA,38,1.5
148,611,Student611,F,MBA,23,1.5
149,612,Student612,M,MBA,28,1.5
150,615,Student615,F,MBA,100,1.5
151,623,Student623,F,MBA,24,1.5
152,632,Student632,F,MBA,75,1.5
153,634,Student634,F,MBA,3,1.5
154,647,Student647,F,MBA,32,1.5
155,649,Student649,M,MBA,98,1.5
156,650,Student650,F,MBA,42,1.5
157,668,Student668,F,MBA,97,1.5
158,671,Student671,F,MBA,82,1.5
159,677,Student677,M,MBA,21,1.5
160,678,Student678,M,MBA,22,1.5
161,680,Student680,F,MBA,58,1.5
162,685,Student685,M,MBA,75,1.5
163,690,Student690,M,MBA,19,1.5
164,691,Student691,F,MBA,41,1.5
165,692,Student692,M,MBA,12,1.5
166,695,Student695,M,MBA,24,1.5
167,696,Student696,F,MBA,77,1.5
168,698,Student698,M,MBA,58,1.5
169,700,Student700,F,MBA,85,1.5
170,701,Student701,M,MBA,66,1.5
171,703,Student703,M,MBA,54,1.5
172,706,Student706,F,MBA,72,1.5
173,708,Student708,M,MBA,54,1.5
174,709,Student709,F,MBA,36,1.5
175,710,Student710,F,MBA,39,1.5
176,712,Student712,M,MBA,12,1.5
177,714,Student714,F,MBA,21,1.5
178,721,Student721,F,MBA,87,1.5
179,726,Student726,F,MBA,94,1.5
180,727,Student727,M,MBA,45,1.5
181,728,Student728,F,MBA,2,1.5
182,729,Student729,F,MBA,99,1.5
183,732,Student732,M,MBA,14,1.5
184,737,Student737,F,MBA,6,1.5
185,743,Student743,F,MBA,4,1.5
186,749,Student749,F,MBA,62,1.5
187,751,Student751,F,MBA,100,1.5
188,756,Student756,F,MBA,45,1.5
189,757,Student757,F,MBA,54,1.5
190,760,Student760,F,MBA,19,1.5
191,761,Student761,M,MBA,5,1.5
192,767,Student767,M,MBA,84,1.5
193,770,Student770,F,MBA,91,1.5
194,776,Student776,F,MBA,75,1.5
195,777,Student777,F,MBA,4,1.5
196,778,Student778,F,MBA,64,1.5
197,783,Student783,F,MBA,8,1.5
198,789,Student789,M,MBA,51,1.5
199,790,Student790,F,MBA,83,1.5
200,791,Student791,F,MBA,18,1.5
201,801,Student801,F,MBA,55,1.5
202,802,Student802,M,MBA,60,1.5
203,822,Student822,F,MBA,69,1.5
204,825,Student825,F,MBA,11,1.5
205,827,Student827,M,MBA,74,1.5
206,830,Student830,M,MBA,10,1.5
207,833,Student833,F,MBA,99,1.5
208,838,Student838,F,MBA,0,1.5
209,845,Student845,M,MBA,60,1.5
210,848,Student848,F,MBA,93,1.5
211,849,Student849,M,MBA,28,1.5
212,853,Student853,F,MBA,78,1.5
213,856,Student856,F,MBA,13,1.5
214,860,Student860,F,MBA,83,1.5
215,861,Student861,F,MBA,90,1.5
216,868,Student868,M,MBA,95,1.5
217,873,Student873,F,MBA,76,1.5
218,875,Student875,F,MBA,12,1.5
219,878,Student878,F,MBA,30,1.5
220,880,Student880,F,MBA,1,1.5
221,881,Student881,F,MBA,69,1.5
222,885,Student885,M,MBA,5,1.5
223,886,Student886,M,MBA,2,1.5
224,889,Student889,F,MBA,59,1.5
225,893,Student893,F,MBA,92,1.5
226,897,Student897,F,MBA,8,1.5
227,898,Student898,M,MBA,64,1.5
228,899,Student899,M,MBA,95,1.5
229,905,Student905,M,MBA,65,1.5
230,908,Student908,M,MBA,22,1.5
231,910,Student910,M,MBA,75,1.5
232,911,Student911,F,MBA,12,1.5
233,914,Student914,F,MBA,27,1.5
234,920,Student920,F,MBA,18,1.5
235,921,Student921,F,MBA,55,1.5
236,925,Student925,M,MBA,98,1.5
237,927,Student927,M,MBA,1,1.5
238,937,Student937,M,MBA,73,1.5
239,940,Student940,M,MBA,53,1.5
240,943,Student943,F,MBA,85,1.5
241,948,Student948,F,MBA,70,1.5
242,949,Student949,F,MBA,89,1.5
243,953,Student953,F,MBA,1,1.5
244,956,Student956,M,MBA,43,1.5
245,961,Student961,F,MBA,64,1.5
246,968,Student968,M,MBA,45,1.5
247,974,Student974,M,MBA,96,1.5
248,976,Student976,F,MBA,42,1.5
249,989,Student989,M,MBA,100,1.5
250,993,Student993,M,MBA,21,1.5
251,994,Student994,F,MBA,93,1.5
252,1007,Student1007,F,MBA,61,1.5
253,1008,Student1008,F,MBA,94,1.5
254,1018,Student1018,F,MBA,23,1.5
255,1022,Student1022,F,MBA,33,1.5
256,1023,Student1023,F,MBA,6,1.5
257,1025,Student1025,F,MBA,91,1.5
258,1026,Student1026,F,MBA,22,1.5
259,1030,Student1030,F,MBA,18,1.5
260,1038,Student1038,F,MBA,10,1.5
261,1039,Student1039,M,MBA,49,1.5
262,1041,Student1041,F,MBA,48,1.5
263,1048,Student1048,F,MBA,36,1.5
264,1049,Student1049,F,MBA,87,1.5
265,1052,Student1052,M,MBA,89,1.5
266,1053,Student1053,F,MBA,53,1.5
267,1054,Student1054,M,MBA,78,1.5
268,1060,Student1060,M,MBA,65,1.5
269,1061,Student1061,F,MBA,89,1.5
270,1063,Student1063,F,MBA,72,1.5
271,1064,Student1064,M,MBA,1,1.5
272,1065,Student1065,F,MBA,22,1.5
273,1068,Student1068,F,MBA,64,1.5
274,1070,Student1070,F,MBA,69,1.5
275,1073,Student1073,F,MBA,82,1.5
276,1074,Student1074,F,MBA,77,1.5
277,1076,Student1076,M,MBA,64,1.5
278,1078,Student1078,M,MBA,94,1.5
279,1080,Student1080,F,MBA,1,1.5
280,1086,Student1086,M,MBA,58,1.5
281,1087,Student1087,M,MBA,32,1.5
282,1091,Student1091,F,MBA,76,1.5
283,1100,Student1100,F,MBA,42,1.5
284,1112,Student1112,F,MBA,6,1.5
285,1115,Student1115,F,MBA,80,1.5
286,1122,Student1122,M,MBA,45,1.5
287,1128,Student1128,M,MBA,100,1.5
288,1129,Student1129,F,MBA,87,1.5
289,1130,Student1130,M,MBA,21,1.5
290,1133,Student1133,M,MBA,0,1.5
291,1138,Student1138,M,MBA,62,1.5
292,1143,Student1143,F,MBA,7,1.5
293,1146,Student1146,M,MBA,16,1.5
294,1150,Student1150,F,MBA,72,1.5
295,1151,Student1151,F,MBA,48,1.5
296,1154,Student1154,F,MBA,31,1.5
297,1156,Student1156,F,MBA,43,1.5
298,1162,Student1162,M,MBA,65,1.5
299,1166,Student1166,M,MBA,59,1.5
300,1167,Student1167,M,MBA,72,1.5
301,1170,Student1170,M,MBA,18,1.5
302,1173,Student1173,F,MBA,44,1.5
303,1179,Student1179,M,MBA,42,1.5
304,1184,Student1184,F,MBA,84,1.5
305,1195,Student1195,F,MBA,54,1.5
306,1197,Student1197,M,MBA,56,1.5
307,1198,Student1198,F,MBA,0,1.5
308,1212,Student1212,F,MBA,35,1.5
309,1221,Student1221,M,MBA,88,1.5
310,1222,Student1222,M,MBA,91,1.5
311,1226,Student1226,F,MBA,76,1.5
312,1227,Student1227,F,MBA,62,1.5
313,1232,Student1232,F,MBA,25,1.5
314,1233,Student1233,M,MBA,59,1.5
315,1235,Student1235,M,MBA,44,1.5
316,1241,Student1241,F,MBA,55,1.5
317,1242,Student1242,M,MBA,46,1.5
318,1243,Student1243,M,MBA,52,1.5
319,1255,Student1255,F,MBA,53,1.5
320,1259,Student1259,M,MBA,51,1.5
321,1261,Student1261,M,MBA,17,1.5
322,1263,Student1263,F,MBA,3,1.5
323,1271,Student1271,F,MBA,88,1.5
324,1274,Student1274,F,MBA,13,1.5
325,1278,Student1278,M,MBA,76,1.5
326,1279,Student1279,M,MBA,88,1.5
327,1280,Student1280,M,MBA,43,1.5
328,1287,Student1287,M,MBA,13,1.5
329,1290,Student1290,F,MBA,25,1.5
330,1292,Student1292,M,MBA,13,1.5
331,1294,Student1294,F,MBA,22,1.5
332,1304,Student1304,F,MBA,48,1.5
333,1305,Student1305,F,MBA,16,1.5
334,1307,Student1307,M,MBA,59,1.5
335,1314,Student1314,F,MBA,40,1.5
336,1331,Student1331,F,MBA,0,1.5
337,1332,Student1332,M,MBA,99,1.5
338,1337,Student1337,M,MBA,39,1.5
339,1338,Student1338,F,MBA,5,1.5
340,1343,Student1343,F,MBA,98,1.5
341,1347,Student1347,M,MBA,5,1.5
342,1351,Student1351,M,MBA,36,1.5
343,1356,Student1356,M,MBA,51,1.5
344,1358,Student1358,M,MBA,19,1.5
345,1363,Student1363,F,MBA,89,1.5
346,1364,Student1364,M,MBA,42,1.5
347,1367,Student1367,M,MBA,36,1.5
348,1370,Student1370,F,MBA,76,1.5
349,1371,Student1371,F,MBA,16,1.5
350,1372,Student1372,M,MBA,80,1.5
351,1383,Student1383,F,MBA,91,1.5
352,1387,Student1387,M,MBA,32,1.5
353,1389,Student1389,M,MBA,15,1.5
354,1390,Student1390,F,MBA,88,1.5
355,1395,Student1395,M,MBA,91,1.5
356,1396,Student1396,M,MBA,88,1.5
357,1400,Student1400,F,MBA,84,1.5
358,1401,Student1401,M,MBA,7,1.5
359,1403,Student1403,M,MBA,13,1.5
360,1409,Student1409,F,MBA,2,1.5
361,1418,Student1418,M,MBA,1,1.5
362,1419,Student1419,M,MBA,16,1.5
363,1423,Student1423,F,MBA,25,1.5
364,1430,Student1430,F,MBA,67,1.5
365,1442,Student1442,M,MBA,2,1.5
366,1444,Student1444,M,MBA,84,1.5
367,1446,Student1446,M,MBA,27,1.5
368,1449,Student1449,F,MBA,10,1.5
369,1450,Student1450,M,MBA,20,1.5
370,1453,Student1453,F,MBA,82,1.5
371,1458,Student1458,M,MBA,99,1.5
372,1459,Student1459,M,MBA,10,1.5
373,1462,Student1462,M,MBA,24,1.5
374,1464,Student1464,F,MBA,76,1.5
375,1467,Student1467,F,MBA,73,1.5
376,1480,Student1480,M,MBA,94,1.5
377,1484,Student1484,F,MBA,50,1.5
378,1485,Student1485,F,MBA,49,1.5
379,1486,Student1486,M,MBA,63,1.5
380,1488,Student1488,F,MBA,58,1.5
381,1489,Student1489,M,MBA,61,1.5
382,1493,Student1493,F,MBA,16,1.5
383,1499,Student1499,F,MBA,24,1.5
384,1500,Student1500,F,MBA,76,1.5
385,1502,Student1502,M,MBA,25,1.5
386,1511,Student1511,M,MBA,31,1.5
387,1512,Student1512,M,MBA,56,1.5
388,1516,Student1516,M,MBA,7,1.5
389,1522,Student1522,M,MBA,67,1.5
390,1530,Student1530,M,MBA,40,1.5
391,1535,Student1535,F,MBA,88,1.5
392,1537,Student1537,F,MBA,73,1.5
393,1545,Student1545,M,MBA,56,1.5
394,1550,Student1550,M,MBA,92,1.5
395,1551,Student1551,F,MBA,49,1.5
396,1553,Student1553,F,MBA,9,1.5
397,1555,Student1555,F,MBA,0,1.5
398,1557,Student1557,F,MBA,89,1.5
399,1560,Student1560,M,MBA,32,1.5
400,1561,Student1561,M,MBA,46,1.5
401,1566,Student1566,M,MBA,46,1.5
402,1571,Student1571,M,MBA,82,1.5
403,1574,Student1574,M,MBA,7,1.5
404,1577,Student1577,F,MBA,67,1.5
405,1582,Student1582,M,MBA,15,1.5
406,1587,Student1587,F,MBA,41,1.5
407,1591,Student1591,M,MBA,23,1.5
408,1600,Student1600,F,MBA,29,1.5
409,1601,Student1601,F,MBA,87,1.5
410,1602,Student1602,F,MBA,59,1.5
411,1603,Student1603,F,MBA,0,1.5
412,1605,Student1605,M,MBA,40,1.5
413,1606,Student1606,M,MBA,67,1.5
414,1608,Student1608,M,MBA,61,1.5
415,1612,Student1612,M,MBA,30,1.5
416,1632,Student1632,F,MBA,73,1.5
417,1634,Student1634,M,MBA,28,1.5
418,1642,Student1642,M,MBA,36,1.5
419,1643,Student1643,M,MBA,88,1.5
420,1645,Student1645,F,MBA,73,1.5
421,1648,Student1648,F,MBA,3,1.5
422,1657,Student1657,M,MBA,63,1.5
423,1660,Student1660,M,MBA,33,1.5
424,1662,Student1662,M,MBA,30,1.5
425,1669,Student1669,M,MBA,20,1.5
426,1675,Student1675,M,MBA,49,1.5
427,1681,Student1681,F,MBA,58,1.5
428,1687,Student1687,F,MBA,53,1.5
429,1691,Student1691,F,MBA,24,1.5
430,1692,Student1692,F,MBA,90,1.5
431,1693,Student1693,M,MBA,5,1.5
432,1696,Student1696,M,MBA,83,1.5
433,1698,Student1698,F,MBA,42,1.5
434,1699,Student1699,M,MBA,52,1.5
435,1708,Student1708,F,MBA,93,1.5
436,1717,Student1717,F,MBA,30,1.5
437,1720,Student1720,F,MBA,91,1.5
438,1727,Student1727,F,MBA,22,1.5
439,1729,Student1729,M,MBA,52,1.5
440,1736,Student1736,F,MBA,98,1.5
441,1738,Student1738,F,MBA,30,1.5
442,1740,Student1740,M,MBA,79,1.5
443,1741,Student1741,M,MBA,75,1.5
444,1750,Student1750,F,MBA,66,1.5
445,1757,Student1757,M,MBA,72,1.5
446,1763,Student1763,F,MBA,87,1.5
447,1764,Student1764,F,MBA,64,1.5
448,1766,Student1766,F,MBA,12,1.5
449,1768,Student1768,F,MBA,30,1.5
450,1769,Student1769,F,MBA,2,1.5
451,1773,Student1773,F,MBA,67,1.5
452,1778,Student1778,M,MBA,54,1.5
453,1779,Student1779,M,MBA,32,1.5
454,1790,Student1790,F,MBA,68,1.5
455,1795,Student1795,F,MBA,71,1.5
456,1801,Student1801,M,MBA,38,1.5
457,1805,Student1805,F,MBA,27,1.5
458,1807,Student1807,M,MBA,80,1.5
459,1808,Student1808,M,MBA,40,1.5
460,1809,Student1809,F,MBA,16,1.5
461,1810,Student1810,F,MBA,47,1.5
462,1817,Student1817,M,MBA,32,1.5
463,1822,Student1822,F,MBA,50,1.5
464,1826,Student1826,F,MBA,5,1.5
465,1828,Student1828,M,MBA,84,1.5
466,1830,Student1830,F,MBA,68,1.5
467,1832,Student1832,M,MBA,99,1.5
468,1840,Student1840,F,MBA,70,1.5
469,1843,Student1843,F,MBA,63,1.5
470,1844,Student1844,M,MBA,70,1.5
471,1850,Student1850,M,MBA,22,1.5
472,1851,Student1851,M,MBA,95,1.5
473,1852,Student1852,M,MBA,42,1.5
474,1856,Student1856,F,MBA,89,1.5
475,1864,Student1864,F,MBA,63,1.5
476,1868,Student1868,M,MBA,3,1.5
477,1869,Student1869,F,MBA,22,1.5
478,1873,Student1873,F,MBA,59,1.5
479,1876,Student1876,F,MBA,22,1.5
480,1881,Student1881,M,MBA,31,1.5
481,1883,Student1883,F,MBA,18,1.5
482,1885,Student1885,F,MBA,8,1.5
483,1891,Student1891,F,MBA,86,1.5
484,1892,Student1892,M,MBA,29,1.5
485,1894,Student1894,M,MBA,2,1.5
486,1897,Student1897,M,MBA,54,1.5
487,1901,Student1901,F,MBA,100,1.5
488,1905,Student1905,F,MBA,68,1.5
489,1909,Student1909,F,MBA,34,1.5
490,1920,Student1920,F,MBA,84,1.5
491,1924,Student1924,F,MBA,58,1.5
492,1928,Student1928,M,MBA,20,1.5
493,1940,Student1940,M,MBA,39,1.5
494,1942,Student1942,M,MBA,84,1.5
495,1946,Student1946,M,MBA,13,1.5
496,1951,Student1951,F,MBA,91,1.5
497,1955,Student1955,F,MBA,62,1.5
498,1959,Student1959,F,MBA,5,1.5
499,1960,Student1960,F,MBA,83,1.5
500,1974,Student1974,M,MBA,0,1.5
501,1979,Student1979,F,MBA,10,1.5
502,1982,Student1982,F,MBA,67,1.5
503,1984,Student1984,F,MBA,16,1.5
504,1987,Student1987,F,MBA,52,1.5
505,1989,Student1989,M,MBA,93,1.5
506,1993,Student1993,M,MBA,21,1.5
507,1996,Student1996,M,MBA,35,1.5
508,1997,Student1997,F,MBA,33,1.5
509,2000,Student2000,M,MBA,52,1.5
510,2002,Student2002,F,MBA,97,1.5
511,2007,Student2007,F,MBA,39,1.5
512,2008,Student2008,M,MBA,6,1.5
513,2014,Student2014,F,MBA,85,1.5
514,2021,Student2021,M,MBA,40,1.5
515,2023,Student2023,M,MBA,18,1.5
516,2025,Student2025,M,MBA,79,1.5
517,2026,Student2026,F,MBA,95,1.5
518,2032,Student2032,F,MBA,30,1.5
519,2037,Student2037,F,MBA,78,1.5
520,2038,Student2038,F,MBA,50,1.5
521,2042,Student2042,F,MBA,32,1.5
522,2044,Student2044,M,MBA,65,1.5
523,2045,Student2045,M,MBA,91,1.5
524,2049,Student2049,M,MBA,50,1.5
525,2051,Student2051,F,MBA,52,1.5
526,2058,Student2058,M,MBA,92,1.5
527,2060,Student2060,M,MBA,81,1.5
528,2071,Student2071,F,MBA,20,1.5
529,2075,Student2075,M,MBA,61,1.5
530,2084,Student2084,F,MBA,79,1.5
531,2086,Student2086,M,MBA,86,1.5
532,2089,Student2089,M,MBA,31,1.5
533,2090,Student2090,F,MBA,76,1.5
534,2094,Student2094,M,MBA,14,1.5
535,2096,Student2096,M,MBA,20,1.5
536,2099,Student2099,F,MBA,51,1.5
537,2100,Student2100,M,MBA,71,1.5
538,2103,Student2103,M,MBA,51,1.5
539,2104,Student2104,F,MBA,87,1.5
540,2105,Student2105,F,MBA,42,1.5
541,2109,Student2109,F,MBA,5,1.5
542,2111,Student2111,M,MBA,54,1.5
543,2120,Student2120,F,MBA,31,1.5
544,2127,Student2127,M,MBA,10,1.5
545,2131,Student2131,F,MBA,29,1.5
546,2139,Student2139,M,MBA,62,1.5
547,2144,Student2144,F,MBA,77,1.5
548,2146,Student2146,F,MBA,33,1.5
549,2149,Student2149,F,MBA,54,1.5
550,2152,Student2152,F,MBA,63,1.5
551,2153,Student2153,M,MBA,25,1.5
552,2154,Student2154,M,MBA,93,1.5
553,2163,Student2163,F,MBA,8,1.5
554,2164,Student2164,M,MBA,10,1.5
555,2167,Student2167,F,MBA,37,1.5
556,2168,Student2168,F,MBA,89,1.5
557,2170,Student2170,F,MBA,100,1.5
558,2172,Student2172,M,MBA,30,1.5
559,2181,Student2181,F,MBA,61,1.5
560,2182,Student2182,M,MBA,38,1.5
561,2185,Student2185,F,MBA,54,1.5
562,2199,Student2199,M,MBA,0,1.5
563,2202,Student2202,F,MBA,84,1.5
564,2205,Student2205,M,MBA,18,1.5
565,2213,Student2213,F,MBA,60,1.5
566,2219,Student2219,F,MBA,5,1.5
567,2223,Student2223,M,MBA,89,1.5
568,2224,Student2224,M,MBA,86,1.5
569,2227,Student2227,M,MBA,57,1.5
570,2228,Student2228,M,MBA,67,1.5
571,2232,Student2232,M,MBA,23,1.5
572,2234,Student2234,F,MBA,74,1.5
573,2235,Student2235,F,MBA,90,1.5
574,2237,Student2237,M,MBA,71,1.5
575,2243,Student2243,M,MBA,3,1.5
576,2245,Student2245,M,MBA,58,1.5
577,2247,Student2247,M,MBA,66,1.5
578,2248,Student2248,F,MBA,45,1.5
579,2249,Student2249,M,MBA,58,1.5
580,2251,Student2251,M,MBA,87,1.5
581,2260,Student2260,F,MBA,23,1.5
582,2261,Student2261,M,MBA,4,1.5
583,2275,Student2275,M,MBA,35,1.5
584,2285,Student2285,F,MBA,78,1.5
585,2288,Student2288,M,MBA,47,1.5
586,2295,Student2295,F,MBA,70,1.5
587,2298,Student2298,M,MBA,42,1.5
588,2299,Student2299,M,MBA,54,1.5
589,2302,Student2302,M,MBA,22,1.5
590,2308,Student2308,M,MBA,15,1.5
591,2309,Student2309,F,MBA,30,1.5
592,2311,Student2311,F,MBA,97,1.5
593,2315,Student2315,M,MBA,6,1.5
594,2320,Student2320,M,MBA,70,1.5
595,2329,Student2329,F,MBA,82,1.5
596,2330,Student2330,F,MBA,64,1.5
597,2333,Student2333,F,MBA,66,1.5
598,2335,Student2335,M,MBA,6,1.5
599,2337,Student2337,M,MBA,78,1.5
600,2352,Student2352,F,MBA,28,1.5
601,2356,Student2356,F,MBA,15,1.5
602,2361,Student2361,F,MBA,78,1.5
603,2371,Student2371,F,MBA,47,1.5
604,2373,Student2373,F,MBA,86,1.5
605,2376,Student2376,M,MBA,7,1.5
606,2379,Student2379,M,MBA,72,1.5
607,2383,Student2383,F,MBA,48,1.5
608,2387,Student2387,F,MBA,6,1.5
609,2397,Student2397,M,MBA,87,1.5
610,2401,Student2401,F,MBA,47,1.5
611,2402,Student2402,F,MBA,35,1.5
612,2405,Student2405,M,MBA,36,1.5
613,2408,Student2408,F,MBA,5,1.5
614,2415,Student2415,F,MBA,9,1.5
615,2416,Student2416,M,MBA,94,1.5
616,2417,Student2417,M,MBA,57,1.5
617,2422,Student2422,M,MBA,76,1.5
618,2431,Student2431,M,MBA,51,1.5
619,2432,Student2432,F,MBA,65,1.5
620,2434,Student2434,M,MBA,72,1.5
621,2439,Student2439,F,MBA,72,1.5
622,2440,Student2440,F,MBA,58,1.5
623,2453,Student2453,F,MBA,56,1.5
624,2454,Student2454,M,MBA,55,1.5
625,2459,Student2459,F,MBA,62,1.5
626,2465,Student2465,F,MBA,44,1.5
627,2467,Student2467,F,MBA,53,1.5
628,2475,Student2475,F,MBA,45,1.5
629,2476,Student2476,M,MBA,89,1.5
630,2481,Student2481,M,MBA,11,1.5
631,2487,Student2487,F,MBA,11,1.5
632,2504,Student2504,M,MBA,75,1.5
633,2507,Student2507,F,MBA,27,1.5
634,2508,Student2508,F,MBA,58,1.5
635,2510,Student2510,M,MBA,6,1.5
636,2513,Student2513,F,MBA,52,1.5
637,2523,Student2523,F,MBA,6,1.5
638,2524,Student2524,M,MBA,89,1.5
639,2527,Student2527,M,MBA,9,1.5
640,2532,Student2532,F,MBA,57,1.5
641,2538,Student2538,M,MBA,4,1.5
642,2543,Student2543,F,MBA,100,1.5
643,2544,Student2544,F,MBA,8,1.5
644,2547,Student2547,F,MBA,40,1.5
645,2551,Student2551,F,MBA,89,1.5
646,2552,Student2552,M,MBA,38,1.5
647,2554,Student2554,F,MBA,4,1.5
648,2555,Student2555,M,MBA,76,1.5
649,2557,Student2557,F,MBA,40,1.5
650,2559,Student2559,F,MBA,31,1.5
651,2563,Student2563,F,MBA,54,1.5
652,2564,Student2564,M,MBA,10,1.5
653,2568,Student2568,M,MBA,54,1.5
654,2569,Student2569,F,MBA,77,1.5
655,2576,Student2576,M,MBA,15,1.5
656,2578,Student2578,F,MBA,69,1.5
